,no_counts,yes_counts,yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,ellapsed_time,TTT_seed,MLP_seed,train,test
0,36537,36537,31898,128,logistic,0.1,100,sgd,169.74940490722656,23,25,0.8618347901948374,0.8315429353404037
1,36537,36537,31898,128,logistic,0.1,100,sgd,143.8532977104187,88,90,0.8632545886860877,0.8351009237085186
2,36537,36537,31898,128,logistic,0.1,100,sgd,232.59506011009216,73,98,0.8418378692759028,0.8059527882312693
3,36537,36537,31898,128,logistic,0.1,100,sgd,168.07521605491638,57,16,0.8488684377084794,0.8221005815942525
4,36537,36537,31898,128,logistic,0.1,100,sgd,186.61612820625305,13,55,0.862809832532202,0.8341430037632569
5,36537,36537,31898,128,logistic,0.1,100,sgd,193.10110592842102,41,33,0.8594399493662225,0.8326377009921314
6,36537,36537,31898,128,logistic,0.1,100,sgd,159.32726407051086,61,1,0.8552831899279837,0.8315429353404037
7,36537,36537,31898,128,logistic,0.1,100,sgd,144.46787405014038,22,30,0.8413417951042611,0.8216900444748546
8,36537,36537,31898,128,logistic,0.1,100,sgd,256.6627788543701,54,20,0.8760498811132589,0.8452275059869997
9,36537,36537,31898,128,logistic,0.1,100,sgd,149.50572323799133,49,40,0.8449169503412648,0.8278481012658228
